Timestep,Ontario,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West
1/4/2016 21:00,101.9141538,28.40148198,65.70924338,74.67862548,74.67862548,80.90992282,46.6579204,0.148681914,38.74968808,49.90288471,385.9738857
1/4/2016 22:00,94.16779205,28.44873698,59.28417707,63.36331229,63.36331229,73.53966893,41.82862209,0.148484249,38.24969968,49.8175563,335.4337791
1/4/2016 23:00,72.64679347,28.80688859,58.12259398,43.63931424,50.90475056,57.09961977,39.48425652,0.151571733,30.99469404,24.71580116,242.5963376
1/5/2016 0:00,59.56176228,30.56970717,68.06882076,46.63803738,46.63803738,30.27991667,37.04660767,0.152131498,34.30924914,0.003834197,209.7484271
1/5/2016 1:00,50.9568177,31.65154908,61.75389967,40.68659026,40.68659026,24.76537842,41.67558759,0.149175782,52.89284641,0.001956637,143.9495799
1/5/2016 2:00,38.79430928,33.93421627,61.60796586,35.30186414,41.30024894,20.37109071,40.7658284,0.147190491,36.93082356,0.000780591,95.81153398
1/5/2016 3:00,40.00186604,32.0985625,62.14398175,39.66824489,40.30224726,20.63918311,41.48654398,0.148742119,38.89641289,0.000788072,97.71147203
1/5/2016 4:00,41.65129033,32.88160145,63.92743897,38.82156965,39.34837563,20.09285494,42.79391748,0.151798836,35.23460762,0.000408389,108.4448123
1/5/2016 5:00,53.6859621,32.30160377,64.1279743,45.89459402,46.60899821,34.10254694,42.54285449,0.154505311,30.91634021,0,149.2985613
1/5/2016 6:00,71.31514085,32.59799274,64.01522281,60.67769287,60.67769287,55.97136443,41.34296723,0.157044978,30.43172144,0,205.5447487
1/5/2016 7:00,86.67625593,32.15342723,57.67310315,61.49552551,61.49552551,66.97220541,42.01897515,0.162440283,33.77446541,0,304.0908688
1/5/2016 8:00,97.92966745,31.66383808,55.65681777,64.40032826,64.40032826,80.05574678,47.27182452,0.169905742,37.97175635,0,364.7973462
1/5/2016 9:00,103.4193347,29.11634831,59.04352061,63.63027452,63.63027452,79.31508098,125.056107,0.172818405,37.10975059,0.04041621,363.7698018
1/5/2016 10:00,90.25983741,30.10226744,54.91084135,60.18972023,60.18972023,72.36135241,121.1694335,0.170098323,34.25489488,0.170647443,280.2554502
1/5/2016 11:00,85.14863649,33.01859593,60.8957244,63.0447239,63.0447239,79.37505152,44.46829699,0.170447457,32.65245206,3.257104025,251.8396959
1/5/2016 12:00,82.7596255,31.81021341,65.13122833,63.55511545,63.55511545,73.74242809,47.05316958,0.167178472,32.72159169,3.632481283,252.4971273
1/5/2016 13:00,71.82704758,32.308949,65.66786434,54.78349288,54.78349288,57.07276453,48.6969877,0.175937679,28.23581924,6.084046865,231.263422
1/5/2016 14:00,63.37923475,40.970806,81.53226123,38.83228984,40.60373853,38.33838871,44.46343908,0.17467903,28.16487323,21.13829856,214.7765809
1/5/2016 15:00,51.16489678,38.5443331,80.04767537,35.57959944,42.03811264,39.4168803,43.80278771,0.174555919,27.80200852,10.09468278,130.556011
1/5/2016 16:00,56.26418435,36.21587619,69.14872273,43.47288199,50.67599063,52.35688907,46.17216443,0.172989177,28.12418264,7.912938144,131.8387607
1/5/2016 17:00,67.08111055,29.85057061,61.32037084,61.98054509,61.98054509,73.02030452,45.68628196,0.167873731,29.65902027,6.076254315,166.2022711
1/5/2016 18:00,77.31112577,27.61949351,60.37973164,68.18843811,68.18843811,92.49101081,45.06203443,0.165185959,31.43819481,22.90396923,179.8764861
1/5/2016 19:00,77.49224278,28.48016107,64.01330538,62.26788307,62.26788307,83.89057329,48.1961916,0.166829939,32.19107196,51.25554235,186.4155441
1/5/2016 20:00,71.01747122,30.43720826,60.80313277,57.36272757,57.36272757,69.88359367,44.36269287,0.169237913,27.54072701,49.97751811,188.8880187
1/5/2016 21:00,65.32979195,32.61556239,61.21052054,56.9655469,56.9655469,64.68267374,43.37163424,0.172059503,26.05508525,58.18318156,142.0438243
1/5/2016 22:00,62.44943671,36.14386702,69.55834787,60.65124994,60.65124994,66.9530366,40.44910793,0.172664393,26.21088041,34.96022873,109.4946748
1/5/2016 23:00,46.41400379,47.82389229,98.87856847,31.75427514,48.52259406,45.68185419,4.52684349,0.173344227,5.830459811,0.048771359,103.1670163
1/6/2016 0:00,35.58687678,61.55540749,99.65567125,35.45803708,35.45803708,24.32977092,0.160544472,0.166816866,0.195756327,0,89.65804112
1/6/2016 1:00,29.11387082,68.23747159,105.4466477,26.4221471,26.4221471,11.3408908,0.155757262,0.165088741,0.187049037,0,74.0371952
1/6/2016 2:00,28.68048207,70.73863504,108.883109,26.64087111,26.64087111,11.74503678,0.272767375,0.16268858,0.325469837,0,66.71304384
1/6/2016 3:00,31.96032064,73.1272548,108.9015261,26.52512113,26.52512113,13.09389674,7.330507247,0.162489761,8.727118758,0,72.27612693
1/6/2016 4:00,37.42646869,74.32607793,107.415777,27.94819576,27.94819576,15.45467193,18.42553578,0.16382306,21.82538712,0,81.03849345
1/6/2016 5:00,40.84747569,76.80702423,111.4650371,28.68379939,28.68379939,16.96887117,24.61111975,0.162417854,29.17285533,0,89.78345216
1/6/2016 6:00,39.80695218,72.31962741,115.0905728,28.16198365,28.16198365,17.09312901,24.08353154,0.16837704,28.79209852,0.00145098,87.02104463
1/6/2016 7:00,37.89453955,60.51481865,109.8342817,28.10168112,28.10168112,17.23117834,29.02926527,0.170083451,27.70768283,0.032317291,82.33770894
1/6/2016 8:00,34.70526619,42.98866174,75.07789751,21.35399633,26.28372555,18.36123412,45.78606968,0.170667865,26.90858925,0.042335423,77.2838541
1/6/2016 9:00,34.79593561,37.39778957,69.27474009,22.04882986,26.2157495,18.47169027,49.25575397,0.16495522,27.40972951,0.117915544,75.53770685
1/6/2016 10:00,35.79932273,44.46065851,79.52026986,25.66029366,28.08581521,18.0339516,45.68405738,0.162051246,27.86438919,0.245503513,77.68252403
1/6/2016 11:00,29.50025689,61.92541035,77.23395497,22.84545474,33.9862553,14.77557208,49.26195237,0.166139889,8.299370433,0.240730381,62.1734053
1/6/2016 12:00,29.73299412,79.23752623,89.95905606,21.77273516,38.7219066,14.02622431,40.37219998,0.165352442,1.010641692,1.546692015,67.5427249
1/6/2016 13:00,33.73482804,73.66363681,96.67541641,31.06135614,37.6749203,14.80425888,28.36787093,0.164669301,9.479905686,1.37523602,83.08718963
1/6/2016 14:00,40.43320487,53.09214269,92.95046483,36.09730547,35.43543533,16.40438156,25.41560088,0.166555936,21.95272922,7.295244083,112.43183
1/6/2016 15:00,48.78127599,56.52090388,97.53954429,43.41892133,34.39850021,19.27304032,23.64857483,0.166809905,31.40533154,13.93744025,146.0987826
1/6/2016 16:00,53.70196979,48.07906191,88.55863054,40.66125221,34.0654382,19.68495781,36.26655379,0.165248371,28.52174056,57.82789683,164.2609261
1/6/2016 17:00,54.97221437,52.39508273,78.70158467,22.12619205,33.9365898,19.45999286,44.7603141,0.161422508,28.96087418,63.75659926,181.6092243
1/6/2016 18:00,56.19014419,36.37412328,68.29716542,23.7220138,36.47665421,19.99854152,49.68564917,0.160600526,31.18097884,51.16025653,194.1957132
1/6/2016 19:00,53.54304066,32.86635634,64.00209979,28.30072342,34.66764767,20.18856965,48.02420642,0.161993607,28.98382609,59.54054951,170.8441134
