name,_id,run_start_time,run_end_time,status,status_message,nrc_create_geometry.aspect_ratio,nrc_create_geometry.building_shape,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.location,nrc_create_necb_prototype_building.template,nrc_create_necb_prototype_building.weather_file_type,nrc_reporting_measure_standard.annual_electricity_use,nrc_reporting_measure_standard.annual_natural_gas_use,nrc_reporting_measure_standard.total_site_energy,nrc_reporting_measure_standard.total_site_energy_normalized,a_choice_argument,global_warming,sideload,weather_file_type
RetailStandalone:BC_Victoria:NECB2017,e35ea8e4-5754-41a3-b09f-f7b22012f538,2023-02-16T22:44:09.977Z,2023-02-16T22:51:36.328Z,completed,completed normal,,,RetailStandalone,BC_Victoria,NECB2017,CWEC2016,319300.0,0.0,139.2,139.2,,,,
RetailStripmall:SK_Saskatoon:NECB2015,06dedeaf-cfa8-4248-93bd-b25c88241809,2023-02-16T23:40:01.137Z,2023-02-16T23:45:05.790Z,completed,completed normal,,,RetailStripmall,SK_Saskatoon,NECB2015,CWEC2016,289100.0,290000.0,277.0,277.0,,,,
RetailStripmall:QC_Quebec:NECB2020,7b44af76-50de-4016-b29c-f66bf7706c57,2023-02-16T23:38:13.965Z,2023-02-16T23:43:16.495Z,completed,completed normal,,,RetailStripmall,QC_Quebec,NECB2020,CWEC2016,419600.0,0.0,200.7,200.7,,,,
FullServiceRestaurant:NL_St.Johns:NECB2011,2aafdc43-d105-4d58-a528-6c8021b6fcea,2023-02-16T23:46:41.732Z,2023-02-16T23:51:05.936Z,completed,completed normal,,,FullServiceRestaurant,NL_St.Johns,NECB2011,CWEC2016,349200.0,0.0,683.1,683.1,,,,
RetailStripmall:MB_Winnipeg:NECB2011,abf29562-cf93-4b0a-a333-9312fa9290dd,2023-02-16T23:30:04.656Z,2023-02-16T23:35:05.804Z,completed,completed normal,,,RetailStripmall,MB_Winnipeg,NECB2011,CWEC2016,539900.0,0.0,258.3,258.3,,,,
Warehouse:AB_Fort.McMurray:NECB2020,a1615dad-a509-4d28-962e-792ff7c7ea9b,2023-02-16T21:58:26.769Z,2023-02-16T22:06:19.373Z,completed,completed normal,,,Warehouse,AB_Fort.McMurray,NECB2020,CWEC2016,203400.0,407800.0,126.4,126.4,,,,
RetailStandalone:AB_Edmonton:NECB2020,3bcc57c2-3e48-4ce1-86fa-dd6b59609413,2023-02-16T22:38:29.352Z,2023-02-16T22:48:56.665Z,completed,completed normal,,,RetailStandalone,AB_Edmonton,NECB2020,CWEC2016,209000.0,168200.0,164.5,164.5,,,,
RetailStripmall:BC_Vancouver:NECB2020,fc98be47-8742-420f-94ad-4d83a413f3d9,2023-02-16T23:28:59.614Z,2023-02-16T23:34:19.856Z,completed,completed normal,,,RetailStripmall,BC_Vancouver,NECB2020,CWEC2016,342700.0,0.0,164.0,164.0,,,,
RetailStripmall:AB_Calgary:NECB2017,1a20584e-e197-46c9-a744-23133f24cabf,2023-02-16T23:24:33.990Z,2023-02-16T23:29:20.328Z,completed,completed normal,,,RetailStripmall,AB_Calgary,NECB2017,CWEC2016,251200.0,169800.0,201.4,201.4,,,,
QuickServiceRestaurant:AB_Calgary:NECB2011,0fea1748-f151-4ca0-8565-51f44bac43a4,2023-02-17T00:16:17.504Z,2023-02-17T00:19:22.485Z,completed,completed normal,,,QuickServiceRestaurant,AB_Calgary,NECB2011,CWEC2016,46640.0,217500.0,1137.0,1137.0,,,,
