name,_id,run_start_time,run_end_time,status,status_message,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.epw_file,nrc_create_necb_prototype_building.template,nrc_report_utility_costs.total_site_energy,openstudio_results.eui
RetailStandaloneNT_YellowknifeNECB2020,c3ea7c64-7fce-42e4-89c6-2442075d9735,2021-12-24T16:09:32.557Z,2021-12-24T16:12:24.451Z,completed,completed normal,RetailStandalone,NT_Yellowknife,NECB2020,462200,201.4890601
LargeOfficeYT_WhitehorseNECB2015,c40da0a3-31ff-40aa-95c9-2c9537a5bf4b,2021-12-24T18:03:20.683Z,2021-12-24T18:08:10.510Z,completed,completed normal,LargeOffice,YT_Whitehorse,NECB2015,5324000,114.9393876
RetailStripmallSK_SaskatoonNECB2011,c44ffcc0-1bb9-40fa-b5dd-567522616149,2021-12-24T16:45:58.909Z,2021-12-24T16:48:46.717Z,completed,completed normal,RetailStripmall,SK_Saskatoon,NECB2011,577800,276.4196657
SmallOfficeBC_VancouverNECB2015,c478f14a-2d1b-48e7-8d55-4f253d550f3d,2021-12-24T15:53:23.349Z,2021-12-24T15:56:02.695Z,completed,completed normal,SmallOffice,BC_Vancouver,NECB2015,61190,119.7059412
WarehouseON_TorontoNECB2015,c4800b15-7e7c-418a-a2dd-220bd4c71ba7,2021-12-24T15:48:09.400Z,2021-12-24T15:50:58.026Z,completed,completed normal,Warehouse,ON_Toronto,NECB2015,647500,133.920908
SmallOfficeNL_St.JohnsNECB2017,c48ab567-98b9-4be3-9d9f-7c3668cc6fb4,2021-12-24T15:55:55.449Z,2021-12-24T15:58:32.336Z,completed,completed normal,SmallOffice,NL_St.Johns,NECB2017,60390,118.151742
LargeOfficeNT_Inuvik-ZubkoNECB2015,c4b48164-04ef-41cc-915e-285895217946,2021-12-24T17:50:27.665Z,2021-12-24T17:56:08.582Z,completed,completed normal,LargeOffice,NT_Inuvik-Zubko,NECB2015,6228000,134.4639708
WarehouseNS_YarmouthNECB2015,c4ef89ed-3e57-45e7-9bcc-61338d14e58c,2021-12-24T15:47:06.276Z,2021-12-24T15:49:46.426Z,completed,completed normal,Warehouse,NS_Yarmouth,NECB2015,600400,124.181425
SmallOfficeMB_Winnipeg-RichardsonNECB2015,c4f28793-14cc-44c8-9784-4b4a3f84d648,2021-12-24T15:55:24.672Z,2021-12-24T15:57:53.292Z,completed,completed normal,SmallOffice,MB_Winnipeg-Richardson,NECB2015,79840,156.2024502
FullServiceRestaurantMB_Winnipeg-RichardsonNECB2017,c55b7ea7-bb0d-478a-a93a-edcd3808d01f,2021-12-24T16:49:35.680Z,2021-12-24T16:52:04.415Z,completed,completed normal,FullServiceRestaurant,MB_Winnipeg-Richardson,NECB2017,251700,492.5005706
MediumOfficeQC_Montreal-TrudeauNECB2020,c5dc472e-9cf2-40c4-af0e-ddd5b425e0e7,2021-12-24T16:29:39.574Z,2021-12-24T16:34:38.382Z,completed,completed normal,MediumOffice,QC_Montreal-Trudeau,NECB2020,610400,122.5236515
RetailStandaloneBC_VictoriaNECB2015,c6438047-bbaa-4b65-8047-7cec42c723fd,2021-12-24T16:05:48.783Z,2021-12-24T16:08:30.632Z,completed,completed normal,RetailStandalone,BC_Victoria,NECB2015,385100,167.8625452
SmallOfficeNT_YellowknifeNECB2020,c727090c-2318-41e1-8a0d-37d8860d64a0,2021-12-24T15:58:40.666Z,2021-12-24T16:01:24.733Z,completed,completed normal,SmallOffice,NT_Yellowknife,NECB2020,74070,144.9046178
RetailStripmallON_WindsorNECB2017,c76490cb-e03d-4067-96be-cc7348d720e0,2021-12-24T16:43:04.901Z,2021-12-24T16:46:09.235Z,completed,completed normal,RetailStripmall,ON_Windsor,NECB2017,418000,199.9627383
MidriseApartmentAB_Fort.McMurrayNECB2020,c7d519ed-20d6-4bc8-82b3-24f606e169d4,2021-12-24T16:58:59.641Z,2021-12-24T17:06:56.204Z,completed,completed normal,MidriseApartment,AB_Fort.McMurray,NECB2020,564700,180.1455719
WarehouseON_WindsorNECB2011,c7f6caae-9414-4eba-94cb-7ef9863b746e,2021-12-24T15:48:21.928Z,2021-12-24T15:50:51.307Z,completed,completed normal,Warehouse,ON_Windsor,NECB2011,634200,131.1736534
FullServiceRestaurantQC_Montreal-TrudeauNECB2015,c85973a6-89b2-47a9-bcb6-aac76214c414,2021-12-24T16:54:50.093Z,2021-12-24T16:57:19.377Z,completed,completed normal,FullServiceRestaurant,QC_Montreal-Trudeau,NECB2015,325100,636.0439967
FullServiceRestaurantQC_QuebecNECB2017,c8907238-dc6e-4349-98fa-ba048f322da2,2021-12-24T16:56:04.559Z,2021-12-24T16:58:41.217Z,completed,completed normal,FullServiceRestaurant,QC_Quebec,NECB2017,217800,426.1034487
QuickServiceRestaurantNT_Inuvik-ZubkoNECB2020,c933e28f-4946-4c08-9880-59df8705720d,2021-12-24T17:33:23.686Z,2021-12-24T17:35:56.259Z,completed,completed normal,QuickServiceRestaurant,NT_Inuvik-Zubko,NECB2020,109100,469.5226345
RetailStripmallNS_HalifaxNECB2015,c9b597b4-34d7-4f8a-bcff-8f03f2ce08d6,2021-12-24T16:39:04.718Z,2021-12-24T16:41:54.006Z,completed,completed normal,RetailStripmall,NS_Halifax,NECB2015,497800,238.1466846
RetailStripmallNT_Inuvik-ZubkoNECB2011,ca144de8-21b3-410d-9428-1273e34ef36d,2021-12-24T16:40:31.619Z,2021-12-24T16:43:22.985Z,completed,completed normal,RetailStripmall,NT_Inuvik-Zubko,NECB2011,663600,317.4593683
LargeOfficeQC_QuebecNECB2011,ca69eed8-799d-40be-99f7-31c388d09881,2021-12-24T17:59:01.694Z,2021-12-24T18:03:44.800Z,completed,completed normal,LargeOffice,QC_Quebec,NECB2011,5417000,116.9466034
MediumOfficeNT_YellowknifeNECB2017,ca765504-e385-4a74-bea0-8e116aadc6a2,2021-12-24T16:25:35.543Z,2021-12-24T16:30:00.258Z,completed,completed normal,MediumOffice,NT_Yellowknife,NECB2017,681500,136.7822183
FullServiceRestaurantAB_Edmonton.Stony.PlainNECB2015,ca845dfc-82a3-4185-8413-3bb790524a25,2021-12-24T16:47:00.158Z,2021-12-24T16:49:35.487Z,completed,completed normal,FullServiceRestaurant,AB_Edmonton.Stony.Plain,NECB2015,449800,880.0471703
SmallOfficeAB_CalgaryNECB2020,ca948619-fed2-4b28-aafc-07fd49d3419e,2021-12-24T15:53:00.968Z,2021-12-24T15:55:55.270Z,completed,completed normal,SmallOffice,AB_Calgary,NECB2020,60810,118.9614472
RetailStripmallNS_YarmouthNECB2020,cb1294ee-7702-426b-96ff-1ff99f0bb249,2021-12-24T16:40:27.417Z,2021-12-24T16:43:52.202Z,completed,completed normal,RetailStripmall,NS_Yarmouth,NECB2020,424100,202.8663341
MidriseApartmentNL_St.JohnsNECB2020,cb2ecb4e-e1d0-4293-88c6-af8d4f847aad,2021-12-24T17:06:04.239Z,2021-12-24T17:12:47.813Z,completed,completed normal,MidriseApartment,NL_St.Johns,NECB2020,464100,148.0699885
FullServiceRestaurantYT_WhitehorseNECB2020,cc44caa3-46b1-4117-be67-187a61bf5fe8,2021-12-24T16:57:05.611Z,2021-12-24T16:59:18.637Z,completed,completed normal,FullServiceRestaurant,YT_Whitehorse,NECB2020,165900,324.583999
