IATA_ID,Name,Updated Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CPAT,ATLEE AGCM,Atlee Agcm,71986,3020405,50.810019,-111.005564,795,GovAB,CA,AUTO,Alberta
CPAV,ARDENVILLE,Ardenville,,3030200,49.527511,-113.433914,1126,GovAB,CA,AUTO,Alberta
CPAZ,AZURE,Azure,71981,3030450,50.511944,-114.013061,1143,GovAB,CA,AUTO,Alberta
CPBA,BARONS AGCM,Barons Agcm,71007,3030529,50.025836,-113.224447,967,GovAB,CA,AUTO,Alberta
CPBB,BUSBY AGCM,Busby Agcm,71284,3010979,53.930835,-113.921667,714,GovAB,CA,AUTO,Alberta
CPBC,BALLATER AGCM,Ballater Agcm,,3070495,55.576944,-117.235556,560,GovAB,CA,AUTO,Alberta
CPBD,BLACK DIAMOND,Black Diamond,71982,3030680,50.706669,-114.151667,1156,GovAB,CA,AUTO,Alberta
CPBE,BEISEKER AGCM,Beiseker Agcm,71009,3020610,51.378613,-113.357223,896,GovAB,CA,AUTO,Alberta
CPBH,BULLHORN HEADWATERS,Bullhorn Headwaters,71016,3050965,49.1525,-113.550556,1326,GovAB,CA,AUTO,Alberta
CPBL,BELLSHILL AGCM,Bellshill Agcm,71010,3010650,52.582224,-111.46528,721,GovAB,CA,AUTO,Alberta
CPBM,BEAVER MINES,Beaver Mines,71304,3050602,49.4679,-114.175,1258.1,MSC,CA,AUTO,Alberta
CPBN,BROWNVALE AGCM,Brownvale Agcm,71283,3070800,56.117778,-117.886391,748,GovAB,CA,AUTO,Alberta
CPBO,BRANDON RCS,Brandon Rcs,71136,5010490,49.903444,-99.945586,408,MSC,CA,AUTO,Manitoba
CPBR,BULLHORN COULEE RESERVOIR,Bullhorn Coulee Reservoir,71839,3050960,49.295278,-113.358611,1115,GovAB,CA,AUTO,Alberta
CPBS,BASSANO AGCM,Bassano Agcm,71008,3030540,50.892501,-112.465003,807,GovAB,CA,AUTO,Alberta
CPBT,BLOOD TRIBE AGDM,Blood Tribe Agdm,71517,3030720,49.566667,-113.05,980,GovAB,CA,AUTO,Alberta
CPBU,BULL SPRINGS AGCM,Bull Springs Agcm,,3030879,50.33947,-110.4841,780,GovAB,CA,AUTO,Alberta
CPBV,BIG VALLEY AGCM,Big Valley Agcm,71011,3020679,51.997779,-112.802502,870,GovAB,CA,AUTO,Alberta
CPCA,CADOGAN AGCM,Cadogan Agcm,71012,3010992,52.334169,-110.510001,690,GovAB,CA,AUTO,Alberta
CPCC,CRESTOMERE AGCM,Crestomere Agcm,71380,3011892,52.732779,-113.90278,855,GovAB,CA,AUTO,Alberta
CPCE,CEREAL AGCM,Cereal Agcm,,3021463,51.2758,-110.8244,753,GovAB,CA,AUTO,Alberta
CPCF,CARROT CREEK AGCM,Carrot Creek Agcm,,3061350,53.623064,-115.893631,861,GovAB,CA,AUTO,Alberta
CPCH,FORT CHIPEWYAN RCS,Fort Chipewyan Rcs,71056,3072659,58.766305,-111.116619,239,MSC,CA,AUTO,Alberta
CPCI,CALGARY INT'L CS,Calgary Int'L Cs,71393,3031094,51.109309,-114.000258,1082.87,MSC,CA,AUTO,Alberta
CPCK,PINCHER CREEK CLIMATE,Pincher Creek Climate,71736,3035208,49.5222,-114.005,1191,MSC,CA,AUTO,Alberta
CPCL,CABIN LAKE AGCM,Cabin Lake Agcm,,3021000,51.023613,-111.221391,734,GovAB,CA,AUTO,Alberta
